repo,name,version,type,purl,language,licenses,cpe_count
actions-updatecli-apply,8398a7/action-slack,v3,github-action,pkg:github/8398a7/action-slack@v3,,,6
actions-updatecli-apply,actions/checkout,v6,github-action,pkg:github/actions/checkout@v6,,,1
actions-updatecli-apply,actions/checkout,v6,github-action,pkg:github/actions/checkout@v6,,,1
actions-updatecli-apply,jdx/mise-action,v4,github-action,pkg:github/jdx/mise-action@v4,,,6
actions-updatecli-apply,prefecthq/actions-mise-upgrade,main,github-action,pkg:github/prefecthq/actions-mise-upgrade@main,,,10
actions-updatecli-apply,prefecthq/actions-updatecli-apply,${{ github.head_ref }},github-action,pkg:github/prefecthq/actions-updatecli-apply@%24%7B%7B%20github.head_ref%20%7D%7D,,,10
colin,actions/checkout,v4,github-action,pkg:github/actions/checkout@v4,,,1
colin,actions/checkout,v4,github-action,pkg:github/actions/checkout@v4,,,1
colin,actions/checkout,v4,github-action,pkg:github/actions/checkout@v4,,,1
colin,actions/checkout,v4,github-action,pkg:github/actions/checkout@v4,,,1
colin,actions/checkout,v6,github-action,pkg:github/actions/checkout@v6,,,1
colin,ag-ui-protocol,0.1.10,python,pkg:pypi/ag-ui-protocol@0.1.10,python,,48
colin,aiohappyeyeballs,2.6.1,python,pkg:pypi/aiohappyeyeballs@2.6.1,python,,12
colin,aiohttp,3.13.3,python,pkg:pypi/aiohttp@3.13.3,python,,12
colin,aiosignal,1.4.0,python,pkg:pypi/aiosignal@1.4.0,python,,12
colin,annotated-types,0.7.0,python,pkg:pypi/annotated-types@0.7.0,python,,32
colin,anthropic,0.76.0,python,pkg:pypi/anthropic@0.76.0,python,,12
colin,anthropics/claude-code-action,v1,github-action,pkg:github/anthropics/claude-code-action@v1,,,10
colin,anthropics/claude-code-action,v1,github-action,pkg:github/anthropics/claude-code-action@v1,,,10
colin,anyio,4.12.1,python,pkg:pypi/anyio@4.12.1,python,,12
colin,argcomplete,3.6.3,python,pkg:pypi/argcomplete@3.6.3,python,,12
colin,astral-sh/setup-uv,v7,github-action,pkg:github/astral-sh/setup-uv@v7,,,10
colin,astral-sh/setup-uv,v7,github-action,pkg:github/astral-sh/setup-uv@v7,,,10
colin,astral-sh/setup-uv,v7,github-action,pkg:github/astral-sh/setup-uv@v7,,,10
colin,asttokens,3.0.1,python,pkg:pypi/asttokens@3.0.1,python,,12
colin,async-timeout,5.0.1,python,pkg:pypi/async-timeout@5.0.1,python,,32
colin,attrs,25.4.0,python,pkg:pypi/attrs@25.4.0,python,,12
colin,authlib,1.6.6,python,pkg:pypi/authlib@1.6.6,python,,12
colin,backports-asyncio-runner,1.2.0,python,pkg:pypi/backports-asyncio-runner@1.2.0,python,,48
colin,backports-tarfile,1.2.0,python,pkg:pypi/backports-tarfile@1.2.0,python,,32
colin,beartype,0.22.9,python,pkg:pypi/beartype@0.22.9,python,,12
